      # [ TIME START ] :	Sun Apr 10 17:52:26 2022
# =====================    CONFIGURATION PARAMETERS    =====================
     # [ ATOM_NUMBER ] :	3072
      # [ BOX_LENGTH ] :	31.3202, 31.3202, 31.3202
# =====================    ATOMIC PARAMETERS    =====================
     # [ ATOM_CHARGE ] :	-0.8476 , 0.4238
       # [ ATOM_MASS ] :	15.9994 , 1.00794
# =====================    PAIRWISE PARAMETERS    =====================
        # [ SHIFT_b1 ] :	6
        # [ SHIFT_b2 ] :	10
        # [ LJ_SIGMA ] :	3.166
      # [ LJ_EPSCLON ] :	65
     # [ LJ_SHIFT_C0 ] :	0.00277399
     # [ LJ_SHIFT_C3 ] :	-7.28056e-05
     # [ LJ_SHIFT_C4 ] :	1.12955e-05
        # [ R4PIE_EL ] :	138935
        # [ ALPHA_EK ] :	0.222222
    # [ EEL_SHIFT_C0 ] :	-0.000849351
    # [ EEL_SHIFT_C3 ] :	3.03437e-05
    # [ EEL_SHIFT_C4 ] :	-4.92204e-06
# =====================    MD PARAMETERS    =====================
           # [ DELTA ] :	0.001
      # [ TOTAL_STEP ] :	10000
      # [ CHECK_STEP ] :	10
# =====================    MD LOOP    =====================
        # LOOP INDEX          TEMPRETURE        TOTAL ENERGY             KINETIC     POTENTIAL INTER     POTENTIAL INTRA              VIRIAL
                 810             299.493            -1117.91             373.518            -1714.98             223.557                   0
                 820             292.781            -1117.23             365.147            -1740.39             258.015                   0
                 830              286.64            -1116.71             357.488             -1752.3             278.105                   0
                 840              289.91            -1116.95             361.567            -1749.94             271.426                   0
                 850             296.103            -1117.42              369.29            -1729.12             242.407                   0
                 860             297.924             -1117.7             371.562            -1695.79              206.53                   0
                 870             293.253            -1117.63             365.736             -1662.6             179.238                   0
                 880             289.296            -1117.05             360.801               -1646             168.143                   0
                 890             290.161            -1116.66              361.88            -1659.44             180.897                   0
                 900             293.045            -1117.18             365.477            -1680.28             197.619                   0
                 910             298.739            -1117.99             372.578            -1713.47             222.908                   0
                 920             296.452            -1117.66             369.725            -1742.94             255.548                   0
                 930             283.443            -1116.49             353.502            -1750.71             280.718                   0
                 940             286.021            -1116.39             356.716            -1748.03             274.928                   0
                 950             292.877            -1117.49             365.267            -1727.99             245.233                   0
                 960              299.79            -1118.15             373.889             -1694.5             202.459                   0
                 970             290.939            -1117.36              362.85            -1665.76             185.544                   0
                 980             289.082            -1116.51             360.534            -1654.54             177.498                   0
                 990             288.976            -1116.81             360.401            -1658.02             180.809                   0
                1000             291.563            -1117.65             363.629            -1675.54              194.26                   0
                1010             290.115            -1117.75             361.823            -1702.47             222.895                   0
                1020             287.482            -1117.15             358.539            -1728.03              252.34                   0
                1030             282.263             -1116.7              352.03            -1738.52             269.788                   0
                1040             283.561            -1116.92             353.648            -1730.28             259.713                   0
                1050                 290            -1117.44             361.679            -1717.52             238.402                   0
                1060             292.021            -1117.59               364.2            -1688.51             206.726                   0
                1070             292.208            -1117.36             364.432            -1670.71              188.92                   0
                1080             294.907            -1117.06             367.799            -1667.15             182.289                   0
                1090             290.958            -1117.01             362.874            -1667.98             188.092                   0
                1100              291.26            -1117.31             363.251            -1683.57             203.011                   0
                1110             298.556            -1117.57              372.35            -1721.69             231.771                   0
                1120             293.607            -1117.38             366.178            -1735.46             251.909                   0
                1130             283.191            -1117.05             353.187            -1740.82             270.584                   0
                1140             294.496            -1117.07             367.287            -1746.29             261.927                   0
                1150             289.242            -1117.11             360.733            -1723.74             245.896                   0
                1160             298.134            -1117.42             371.823            -1702.88             213.635                   0
                1170             302.748            -1117.67             377.577            -1689.68             194.429                   0
                1180             296.927            -1117.41             370.319             -1669.9             182.171                   0
                1190             290.654            -1116.84             362.495            -1674.24             194.904                   0
                1200             294.351            -1117.08             367.105            -1691.61             207.423                   0
                1210             292.447            -1117.77             364.731            -1708.75             226.255                   0
                1220              289.38            -1117.68             360.906            -1723.63             245.036                   0
                1230             282.163            -1116.83             351.905            -1735.21             266.469                   0
                1240             285.269            -1116.75             355.778            -1728.96             256.434                   0
                1250             289.699            -1117.42             361.304            -1716.82             238.097                   0
                1260             296.402            -1117.77             369.663            -1695.23             207.795                   0
                1270             287.211            -1117.43               358.2             -1677.6             201.967                   0
                1280             291.193            -1117.16             363.167            -1668.78             188.455                   0
                1290             287.704            -1117.13             358.815            -1678.33             202.386                   0
                1300             282.026            -1117.21             351.734            -1677.75             208.804                   0
                1310              292.06            -1117.44             364.249            -1716.13             234.435                   0
                1320             289.848            -1117.45              361.49            -1722.55             243.615                   0
                1330             287.115            -1117.12             358.081            -1735.15             259.952                   0
                1340             283.213            -1116.85             353.215             -1718.5             248.441                   0
                1350             289.565            -1117.27             361.137             -1717.1             238.691                   0
                1360             292.833            -1117.71             365.212            -1693.48             210.557                   0
                1370             295.521             -1117.5             368.564            -1688.45             202.389                   0
                1380             286.821            -1116.89             357.714            -1671.18             196.577                   0
                1390             288.591            -1116.98             359.922            -1679.46             202.563                   0
                1400             289.581            -1117.49             361.157            -1690.48             211.835                   0
                1410              285.97            -1117.53             356.652             -1703.4             229.213                   0
                1420             289.522            -1117.18             361.083            -1725.56             247.296                   0
                1430             287.656            -1117.07             358.756            -1729.22             253.392                   0
                1440             286.558            -1117.23             357.387            -1718.81             244.194                   0
                1450             288.972            -1117.34             360.398            -1707.23             229.491                   0
                1460             289.334            -1117.35             360.849            -1687.51             209.311                   0
                1470             287.781            -1117.35             358.912            -1675.94             199.676                   0
                1480             284.027            -1117.24              354.23            -1668.26             196.794                   0
                1490             291.949            -1117.14              364.11             -1686.6             205.355                   0
                1500             288.645            -1117.18              359.99            -1696.71             219.534                   0
                1510             285.588            -1117.37             356.177            -1703.31             229.763                   0
                1520             292.817            -1117.45             365.192            -1731.91             249.261                   0
                1530             286.319            -1117.16             357.088            -1720.29             246.048                   0
                1540             289.863            -1117.03             361.508            -1726.27             247.733                   0
                1550             293.101             -1117.2             365.546            -1710.08             227.328                   0
                1560             294.571            -1117.53              367.38            -1698.12             213.209                   0
                1570             294.685            -1117.55             367.522            -1681.56             196.487                   0
                1580             289.013            -1117.09             360.449            -1683.34             205.808                   0
                1590             286.736            -1116.89             357.608            -1681.76             207.258                   0
                1600             289.673            -1117.45             361.271            -1703.72             224.991                   0
                1610             296.304             -1117.8             369.541            -1711.23             223.883                   0
                1620             295.334             -1117.3             368.332            -1735.02             249.383                   0
                1630             292.185            -1116.88             364.405            -1725.56             244.276                   0
                1640             294.632            -1117.29             367.456            -1730.86             246.108                   0
                1650              298.05            -1117.65             371.719            -1708.78             219.411                   0
                1660             296.487            -1117.38              369.77            -1709.72             222.575                   0
                1670             295.334            -1117.14             368.331            -1686.38             200.912                   0
                1680             297.956            -1117.29             371.602            -1701.95             213.059                   0
                1690             296.506            -1117.44             369.793            -1692.01              204.78                   0
                1700             298.364            -1117.46             372.111            -1719.14              229.57                   0
                1710             293.357             -1117.3             365.866            -1717.23             234.069                   0
                1720             290.473            -1117.18             362.269            -1731.57             252.121                   0
                1730             287.975            -1117.27             359.153            -1722.46             246.042                   0
                1740             295.668            -1117.45             368.748            -1729.25             243.056                   0
                1750             295.321            -1117.37             368.315            -1711.15             225.468                   0
                1760             295.734            -1117.22              368.83            -1707.53              221.48                   0
                1770              293.76            -1117.27             366.368            -1690.36             206.723                   0
                1780             296.967            -1117.44             370.368            -1696.94             209.132                   0
                1790             296.704            -1117.41             370.041            -1701.19             213.735                   0
                1800             292.819            -1117.19             365.195            -1713.14             230.753                   0
                1810              295.66             -1117.2             368.738            -1725.77             239.833                   0
                1820             295.147            -1117.38             368.099            -1734.24             248.762                   0
                1830             297.738            -1117.34             371.329            -1730.73             242.062                   0
                1840             298.388            -1117.12              372.14             -1730.5             241.241                   0
                1850             294.714            -1117.25             367.558            -1713.06             228.252                   0
                1860             294.825            -1117.52             367.697            -1705.71             220.491                   0
                1870             296.804            -1117.38             370.165            -1700.21             212.662                   0
                1880             298.875             -1117.2             372.748            -1702.59             212.646                   0
                1890             298.876            -1117.43              372.75            -1707.77             217.599                   0
                1900             294.408            -1117.46             367.177            -1706.65             222.019                   0
                1910             296.597            -1117.13             369.907            -1723.09             236.054                   0
                1920             294.433            -1117.14             367.208            -1725.27             240.922                   0
                1930             291.622            -1117.53             363.702               -1723             241.776                   0
                1940             296.673            -1117.45             370.001            -1720.99             233.537                   0
                1950             296.149            -1117.04             369.348             -1714.1             227.717                   0
                1960             294.307            -1117.16             367.051            -1702.29             218.085                   0
                1970             295.647             -1117.7             368.721             -1693.7             207.272                   0
                1980             300.878            -1117.62             375.246            -1703.87             210.998                   0
                1990             295.183               -1117             368.143            -1705.72             220.576                   0
                2000             294.424            -1117.03             367.197            -1719.04             234.813                   0
                2010             295.411            -1117.54             368.427            -1719.58             233.606                   0
                2020              298.03            -1117.62             371.693            -1735.02             245.712                   0
                2030             292.095            -1117.17             364.292            -1726.34             244.879                   0
                2040             291.401            -1116.96             363.427            -1721.34             240.956                   0
                2050             297.591            -1117.33             371.146             -1711.8             223.323                   0
                2060             298.598            -1117.59             372.403            -1704.34             214.347                   0
                2070             299.244            -1117.43             373.209            -1696.53             205.882                   0
                2080             298.573            -1117.16             372.371            -1704.18             214.646                   0
                2090             291.587            -1117.24             363.659            -1694.22             213.318                   0
                2100             301.762            -1117.52             376.348            -1722.05             228.188                   0
                2110             297.472            -1117.51             370.998            -1718.48             229.965                   0
                2120             291.434            -1117.21             363.468            -1723.22             242.549                   0
                2130             298.612            -1117.19             372.419            -1727.99             238.374                   0
                2140             296.586            -1117.42             369.892            -1721.12             233.811                   0
                2150             295.984            -1117.47             369.142            -1704.94             218.334                   0
                2160             299.225            -1117.31             373.184            -1708.49             217.993                   0
                2170             299.949            -1117.32             374.087            -1697.79              206.38                   0
                2180             294.852            -1117.41              367.73            -1697.82             212.681                   0
                2190             292.885            -1117.42             365.277            -1697.87             215.173                   0
                2200             289.963             -1117.3             361.633            -1708.59             229.653                   0
                2210             288.272            -1117.22             359.524            -1707.67             230.934                   0
                2220             292.783            -1117.25              365.15            -1722.65             240.252                   0
                2230             293.137            -1117.37             365.591            -1710.54             227.572                   0
                2240             293.991            -1117.44             366.657            -1712.86             228.766                   0
                2250             293.933             -1117.3             366.585            -1697.26             213.378                   0
                2260             292.464             -1117.2             364.753            -1695.32             213.367                   0
                2270             298.235            -1117.37              371.95            -1694.37             205.047                   0
                2280             299.353            -1117.43             373.344             -1705.3             214.523                   0
                2290             296.496            -1117.32             369.781            -1706.13             219.029                   0
                2300             297.472            -1117.28             370.998             -1725.5             237.216                   0
                2310             296.123            -1117.35             369.316            -1719.32             232.655                   0
                2320             299.137            -1117.43             373.074            -1734.41             243.908                   0
                2330              294.48            -1117.21             367.266            -1718.65             234.173                   0
                2340             302.513            -1117.18             377.285            -1727.76              233.29                   0
                2350             296.103            -1117.28             369.291            -1702.13             215.562                   0
                2360             299.302            -1117.46              373.28            -1704.68             213.948                   0
                2370             296.249            -1117.31             369.473            -1694.01             207.231                   0
                2380             300.156            -1117.28             374.345             -1711.6             219.973                   0
                2390             295.531            -1117.39             368.577            -1706.15             220.178                   0
                2400             291.808             -1117.2             363.934            -1718.89             237.752                   0
                2410             292.137            -1117.18             364.344            -1718.97             237.451                   0
                2420             290.616             -1117.5             362.447            -1724.38             244.428                   0
                2430             293.964            -1117.41             366.623            -1720.62             236.579                   0
                2440             289.848            -1116.96              361.49            -1713.32             234.871                   0
                2450             291.235            -1117.18             363.219            -1701.22             220.821                   0
                2460             295.019            -1117.67             367.939            -1702.52             216.912                   0
                2470             289.947            -1117.38             361.613            -1692.61              213.61                   0
                2480             287.874            -1116.91             359.028            -1702.89             226.948                   0
                2490             291.047            -1117.19             362.985            -1704.53              224.35                   0
                2500             293.953            -1117.58             366.609            -1715.75             231.567                   0
                2510             288.062            -1117.32             359.262            -1715.44             238.858                   0
                2520             288.116            -1117.04              359.33            -1717.19             240.821                   0
                2530              292.52            -1117.29             364.823            -1720.35             238.236                   0
                2540             295.151            -1117.48             368.103            -1711.39             225.804                   0
                2550             298.463            -1117.36             372.235            -1710.64             221.048                   0
                2560               289.8            -1117.24              361.43            -1694.17             215.504                   0
                2570             295.672            -1117.37             368.753            -1701.98              215.86                   0
                2580             295.998            -1117.28             369.159               -1707             220.559                   0
                2590             296.787             -1117.2             370.144            -1713.76              226.42                   0
                2600             296.392            -1117.33             369.651            -1720.01             233.025                   0
                2610             299.835            -1117.46             373.945            -1727.94              236.54                   0
                2620             297.964            -1117.26             371.611            -1727.29             238.426                   0
                2630             292.957            -1117.19             365.367            -1718.77             236.213                   0
                2640             295.489            -1117.42             368.525            -1712.25             226.312                   0
                2650             296.395             -1117.5             369.655            -1706.84             219.683                   0
                2660             294.465             -1117.3             367.247             -1700.2             215.647                   0
                2670             292.172             -1117.2             364.388            -1701.92             220.331                   0
                2680             298.933            -1117.37              372.82            -1715.07             224.884                   0
                2690             295.322             -1117.4             368.316            -1708.83             223.121                   0
                2700             294.947            -1117.32             367.849            -1721.27             236.096                   0
                2710              292.83            -1117.31             365.208            -1714.46             231.936                   0
                2720             290.703            -1117.38             362.556            -1715.43             235.499                   0
                2730             293.356            -1117.44             365.865            -1709.35             226.048                   0
